Name,Abbreviation,Description,Interpretation,Result Status,Result 1,Result 2,Result 3,Details
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,4], lower is better",Multiple Results,visits-service,1.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,4], lower is better",Multiple Results,api-gateway,1.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,4], lower is better",Multiple Results,customers-service,1.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,4], lower is better",Multiple Results,vets-service,1.0,,
Services Interdependence in the System,SIY,Count of pairs of services which depend on each other,"Value range: [0,6], lower is better",Single Result,0.0,,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,3], lower is better",Multiple Results,visits-service,1.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,3], lower is better",Multiple Results,api-gateway,0.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,3], lower is better",Multiple Results,customers-service,1.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,3], lower is better",Multiple Results,vets-service,1.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,3], lower is better",Multiple Results,visits-service,0.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,3], lower is better",Multiple Results,api-gateway,1.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,3], lower is better",Multiple Results,customers-service,0.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,3], lower is better",Multiple Results,vets-service,0.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,9], lower is better",Multiple Results,visits-service,0.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,9], lower is better",Multiple Results,api-gateway,0.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,9], lower is better",Multiple Results,customers-service,0.0,,
Absolute Criticality of the Service,ACS,Product of its absolute importance (AIS) and absolute dependence (ADS),"Value range: [0,9], lower is better",Multiple Results,vets-service,0.0,,
Number of Services,NS,Number of services in the system,"Value range: [0,INF), lower is better",Single Result,4.0,,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,visits-service,0.0,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,api-gateway,0.0,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,customers-service,0.0,,
Relative Coupling of Service,RCS,Degree to which a service depends on the other services,"Value range: [0,1), lower is better",Multiple Results,vets-service,0.0,,
Relative Importance of Service,RIS,Degree to which the other services depend on a service,"Value range: [0,1), lower is better",Multiple Results,visits-service,0.0,,
Relative Importance of Service,RIS,Degree to which the other services depend on a service,"Value range: [0,1), lower is better",Multiple Results,api-gateway,0.0,,
Relative Importance of Service,RIS,Degree to which the other services depend on a service,"Value range: [0,1), lower is better",Multiple Results,customers-service,0.0,,
Relative Importance of Service,RIS,Degree to which the other services depend on a service,"Value range: [0,1), lower is better",Multiple Results,vets-service,0.0,,
Service Coupling Factor,SCF,"Indicates the overall coupling in the system, the sum over all single coupling values is set in relation with the maximum couplings that could occur in the system","Value range: [0,1], lower is better",Single Result,0.0,,,
Weighted Service Interface Count,WSIC,Weighted number of exposed interfaces or operations per service (all weights = 1.0),"Value range: [0,INF), lower is better",Multiple Results,visits-service,7.0,,
Weighted Service Interface Count,WSIC,Weighted number of exposed interfaces or operations per service (all weights = 1.0),"Value range: [0,INF), lower is better",Multiple Results,api-gateway,11.0,,
Weighted Service Interface Count,WSIC,Weighted number of exposed interfaces or operations per service (all weights = 1.0),"Value range: [0,INF), lower is better",Multiple Results,customers-service,11.0,,
Weighted Service Interface Count,WSIC,Weighted number of exposed interfaces or operations per service (all weights = 1.0),"Value range: [0,INF), lower is better",Multiple Results,vets-service,5.0,,
Service Composition Pattern,SCP,Fraction of services which are composite,"Value range: [0,1], lower is better",Single Result,0.0,,,
Inverse of Average Number of Used Message,IAUM,Ratio between number of services and message types,"Value range: (0,1], very low values should be avoided",Single Result,0.12,,,
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,visits-service,[http get /actuator/info],0.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,visits-service,[http get /actuator],0.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,visits-service,[http get /actuator/health],1.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,visits-service,[http get /pets/visits],1.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,visits-service,[http post /owners/*/pets/{petid}/visits],1.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,visits-service,[http get /owners/*/pets/{petid}/visits],1.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,visits-service,[http get /actuator/prometheus],0.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,api-gateway,[http get],1.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,api-gateway,[http put],1.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,api-gateway,[http get /actuator/info],0.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,api-gateway,[http get /actuator],0.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,api-gateway,[http get /actuator/health],0.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,api-gateway,[http get /webjars/**],0.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,api-gateway,[http post /fallback],0.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,api-gateway,[http get /api/gateway/owners/{ownerid}],0.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,api-gateway,[http get /actuator/prometheus],0.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,api-gateway,[http post],1.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,api-gateway,[http get /],0.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,customers-service,[http post /owners],1.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,customers-service,[http post /owners/{ownerid}/pets],1.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,customers-service,[http get /pettypes],1.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,customers-service,[http get /actuator/info],0.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,customers-service,[http get /actuator],0.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,customers-service,[http get /actuator/health],1.0,api-gateway ([http get]): [http get] / api-gateway ([http post]): [http post] / api-gateway ([http put]): [http put] / customers-service ([http get /owners]): [connection] / customers-service ([http post /owners/{ownerid}/pets]): [connection] / customers-service ([http get /owners/{ownerid}]): [connection] / customers-service ([http get /pettypes]): [connection] / customers-service ([http put /owners/*/pets/{petid}]): [connection] / customers-service ([http get /owners/*/pets/{petid}]): [connection] / customers-service ([http post /owners]): [connection] / customers-service ([http get /actuator/health]): [connection] / vets-service ([http get /vets]): [connection] / vets-service ([http get /actuator/health]): [connection] / visits-service ([http post /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /owners/*/pets/{petid}/visits]): [connection] / visits-service ([http get /actuator/health]): [connection] / visits-service ([http get /pets/visits]): [connection]
