Name,Abbreviation,Description,Interpretation,Result Status,Result 1,Result 2,Result 3,Details
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,6], lower is better",Multiple Results,book-service,1.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,6], lower is better",Multiple Results,api-gateway,1.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,6], lower is better",Multiple Results,stock-check-service,1.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,6], lower is better",Multiple Results,order-service,1.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,6], lower is better",Multiple Results,message-service,1.0,,
Number of Services Involved in the Compound Service,NSIC,Number of services involved in the compound service,"Value range: [0,6], lower is better",Multiple Results,author-service,1.0,,
Services Interdependence in the System,SIY,Count of pairs of services which depend on each other,"Value range: [0,15], lower is better",Single Result,0.0,,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,5], lower is better",Multiple Results,book-service,1.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,5], lower is better",Multiple Results,api-gateway,0.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,5], lower is better",Multiple Results,stock-check-service,1.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,5], lower is better",Multiple Results,order-service,1.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,5], lower is better",Multiple Results,message-service,1.0,,
Absolute Importance of the Service,AIS,Number of services which depend on a service,"Value range: [0,5], lower is better",Multiple Results,author-service,1.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,5], lower is better",Multiple Results,book-service,0.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,5], lower is better",Multiple Results,api-gateway,3.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,5], lower is better",Multiple Results,stock-check-service,0.0,,
Absolute Dependence of the Service,ADS,Number of other services a service depends on,"Value range: [0,5], lower is better",Multiple Results,order-service,2.0,,
